source_row,source_id,entry_type,title,year,document_type,publisher
1,10.1145/3594671.3594674,inproceedings,Implementation and Evaluation of an Interpreter for Functional Reactive Programming on Small Embedded Devices,2023,Conference paper,Association for Computing Machinery
2,10.1145/3457784.3457795,inproceedings,Functional Reactive Programming for Embedded Systems with GPGPUs,2021,Conference paper,Association for Computing Machinery
3,10.1145/3631991.3632000,inproceedings,Developing Distributed Systems with Multiparty Functional Reactive Programming,2023,Conference paper,Association for Computing Machinery
4,10.1145/3618305.3623608,inproceedings,A Functional Reactive Programming Language for Wirelessly Connected Shape-Changeable Chiplet-Based Computers,2023,Conference paper,Association for Computing Machinery
5,10.1145/2892664.2892670,inproceedings,Emfrp: a functional reactive programming language for small-scale embedded systems,2016,Conference paper,Association for Computing Machinery
6,10.1145/2975980.2975982,inproceedings,Juniper: a functional reactive programming language for the Arduino,2016,Conference paper,Association for Computing Machinery
7,10.1145/3623506.3623578,inproceedings,Periodic and Aperiodic Task Description Mechanisms in an FRP Language for Small-Scale Embedded Systems,2023,Conference paper,Association for Computing Machinery
8,10.1145/3651781.3651789,inproceedings,Switching Mechanism for Update Timing of Time-Varying Values in an FRP Language for Small-Scale Embedded Systems,2024,Conference paper,Association for Computing Machinery
9,10.1145/3563837.3568338,inproceedings,Towards Introducing Asynchronous Tasks to an FRP Language for Small-Scale Embedded Systems,2022,Conference paper,Association for Computing Machinery
10,10.1145/2513228.2513271,inproceedings,Variable voltage scheduling with the priority-based functional reactive programming language,2013,Conference paper,Association for Computing Machinery
11,10.1145/1596550.1596558,inproceedings,Safe functional reactive programming through dependent types,2009,Conference paper,Association for Computing Machinery
12,10.1145/3242921.3242925,inproceedings,A Simple Context-Oriented Programming Extension to an FRP Language for Small-Scale Embedded Systems,2018,Conference paper,Association for Computing Machinery
13,10.1145/3563837.3568342,inproceedings,Reactive Programming on the Bare Metal: A Formal Model for a Low-Level Reactive Virtual Machine,2022,Conference paper,Association for Computing Machinery
14,10.1145/3358503.3361276,inproceedings,Towards a statically scheduled parallel execution of an FRP language for embedded systems,2019,Conference paper,Association for Computing Machinery
15,10.1145/3079368.3079387,inproceedings,Towards Reflection in an FRP Language for Small-Scale Embedded Systems,2017,Conference paper,Association for Computing Machinery
16,10.1145/2687233.2687249,inproceedings,Robotics reactive programming with F#/Mono,2014,Conference paper,Association for Computing Machinery
17,10.1145/2560033,article,Building timing predictable embedded systems,2014,Article,Association for Computing Machinery
18,10.1145/3242744.3242757,inproceedings,Rhine: FRP with type-level clocks,2018,Conference paper,Association for Computing Machinery
19,10.1145/3583678.3596895,inproceedings,Considerations for integrating virtual threads in a Java framework: a Quarkus example in a resource-constrained environment,2023,Conference paper,Association for Computing Machinery
20,10.1145/2038642.2038644,inproceedings,Challenges and potential solutions for complex embedded systems,2011,Conference paper,Association for Computing Machinery
