duplicate_group_id,title,authors,normalized_title,normalized_authors,databases_found,occurrence_count,kept_database,kept_source_id,source_ids,source_rows,year,doi,publication_title,document_type
91ad0e4561c13f0590bf271e0b2f528aa7eb6845e843934e3debc9c5d6418104,A formal model of composing components: the TLA<sup>+</sup> approach,Ondrej RysavyJaroslav Rab,a formal model of composing components the tla approach,ondrej rysavyjaroslav rab,springer,2,springer,10.1007/s11334-009-0087-2,10.1007/s11334-009-0087-2; 10.1007/s11334-009-0089-0,springer:516; springer:519,2009,10.1007/s11334-009-0087-2,Innovations in Systems and Software Engineering,Article
e07eb40cf30e40984b6a80047c97f1a6fd72debfebf5195ce7713361879cc4b8,A Functional Reactive Programming Language for Wirelessly Connected Shape-Changeable Chiplet-Based Computers,Izawa Y.; Kadomoto J.; Irie H.; Sakai S.,a functional reactive programming language for wirelessly connected shape changeable chiplet based computers,izawa y kadomoto j irie h sakai s,scopus; wos,2,scopus,2-s2.0-85178383980,2-s2.0-85178383980; WOS:001322544400022,scopus:333; wos:12,2023,10.1145/3618305.3623608,"SPLASH Companion 2023 - Companion Proceedings of the 2023 ACM SIGPLAN International Conference on Systems, Programming, Languages, and Applications: Software for Humanity",Conference paper
e926e83eb31411c517c6f90b5880b993041f92ef9a055be31082f9a190221d26,"A memory-bounded, deterministic and terminating semantics for the synchronous programming language Céu",Santos R.C.M.; Lima G.F.; Sant'anna F.; Ierusalimschy R.; Haeusler E.H.,a memory bounded deterministic and terminating semantics for the synchronous programming language céu,santos r c m lima g f sant anna f ierusalimschy r haeusler e h,scopus,2,scopus,2-s2.0-85084189766,2-s2.0-85084189766; 2-s2.0-85050102348,scopus:26; scopus:78,2018,10.1145/3211332.3211334,ACM SIGPLAN Notices,Article
383a7a8e367ab633dbceb4a3fbc20a3e347c267c4d5260c9c46aceaff723fc87,A real-time profile for UML,Susanne GrafIleana OberIulian Ober,a real time profile for uml,susanne grafileana oberiulian ober,springer,2,springer,10.1007/s10009-005-0213-x,10.1007/s10009-005-0213-x; 10.1007/s10009-006-0219-z,springer:619; springer:620,2006,10.1007/s10009-005-0213-x,International Journal on Software Tools for Technology Transfer,Article
28af951ec86ce312e64e261f359ce149da0a360486c6a06b45266d18d91bf1bf,A survey of desynchronization in a polychronous model of computation,Ouy J.,a survey of desynchronization in a polychronous model of computation,ouy j,scopus; wos,2,scopus,2-s2.0-30644468037,2-s2.0-30644468037; WOS:000214140800009,scopus:9; wos:75,2006,10.1016/j.entcs.2005.05.040,Electronic Notes in Theoretical Computer Science,Conference paper
e1a1c0471a2ebe9d481521a746503dc56053daa8ce229e604a488b5465a8c309,Automatic modular abstractions for linear constraints,Monniaux D.,automatic modular abstractions for linear constraints,monniaux d,scopus; wos,3,scopus,2-s2.0-67649859656,2-s2.0-67649859656; 2-s2.0-70350339814; WOS:000272013800013,scopus:98; scopus:161; wos:91,2009,10.1145/1480881.1480899,Conference Record of the Annual ACM Symposium on Principles of Programming Languages,Conference paper
c4f2f202cf597f86bdab45e1e92a4eca9d381ac9dd3f8fed99466f230c18bed8,Automatic modular abstractions for template numerical constraints,Monniaux D.,automatic modular abstractions for template numerical constraints,monniaux d,scopus; wos,2,scopus,2-s2.0-77957578743,2-s2.0-77957578743; WOS:000282653500004,scopus:49; wos:92,2010,10.2168/lmcs-6(3:4)2010,Logical Methods in Computer Science,Article
dbd68eca9dbf4c48fd5546009b53b30168506fecfac3d7c3ee10643e070470dd,"Blech, Imperative Synchronous Programming!",Gretz F.; Grosch F.-J.,blech imperative synchronous programming,gretz f grosch f j,scopus,2,scopus,2-s2.0-85057797617,2-s2.0-85057797617; 2-s2.0-85077508573,scopus:35; scopus:97,2018,10.1109/FDL.2018.8524036,Forum on Specification and Design Languages,Conference paper
18611f107f69745880d8c131fb5c396ba32fef543d99242ddd691430e35a1e9e,Bridging the abstraction gap for the design of embedded reactive systems using esterel - A case study,Zauner M.; Kramer M.; Balog P.,bridging the abstraction gap for the design of embedded reactive systems using esterel a case study,zauner m kramer m balog p,scopus; wos,2,scopus,2-s2.0-44849106998,2-s2.0-44849106998; WOS:000254341600012,scopus:154; wos:73,2008,10.1115/DETC2007-34561,"2007 Proceedings of the ASME International Design Engineering Technical Conferences and Computers and Information in Engineering Conference, DETC2007",Conference paper
53f882800099c988ef1578ed2cafb46cd9406a2c7cba0474717c3e4c451f5bd6,Building iot systems using distributed first-class reactive programming,De Troyer C.; Nicolay J.; De Meuter W.,building iot systems using distributed first class reactive programming,de troyer c nicolay j de meuter w,scopus; wos,2,scopus,2-s2.0-85061130867,2-s2.0-85061130867; WOS:000458741200027,scopus:52; wos:42,2018,10.1109/CloudCom2018.2018.00045,"Proceedings of the International Conference on Cloud Computing Technology and Science, CloudCom",Conference paper
