database,source_row,source_id,title,authors,normalized_title,normalized_authors,year,doi,publication_title,document_type,url
ieee,2,10.1109/RTCSA.2009.64,Response Time Analysis for the Abort-and-Restart Event Handlers of the Priority-Based Functional Reactive Programming (P-FRP) Paradigm,J. Ras; A. M. K. Cheng,response time analysis for the abort and restart event handlers of the priority based functional reactive programming p frp paradigm,j ras a m k cheng,2009,10.1109/RTCSA.2009.64,2009 15th IEEE International Conference on Embedded and Real-Time Computing Systems and Applications,IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5279691
ieee,3,10.1109/EMWRT.1992.637472,Synchronous programming of a real-time microcontroller,C. Andre; M. Peraldi,synchronous programming of a real time microcontroller,c andre m peraldi,1992,10.1109/EMWRT.1992.637472,Fourth Euromicro workshop on Real-Time Systems,IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=637472
ieee,4,10.1109/ITOEC.2017.8122456,The design and application of functional reactive distributed process control system,H. Lv; G. Cheng; Y. Zhou; S. Qian; Y. Zhong,the design and application of functional reactive distributed process control system,h lv g cheng y zhou s qian y zhong,2017,10.1109/ITOEC.2017.8122456,2017 IEEE 3rd Information Technology and Mechatronics Engineering Conference (ITOEC),IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8122456
ieee,5,10.1145/2038642.2038644,Challenges and potential solutions for complex embedded systems,G. Berry,challenges and potential solutions for complex embedded systems,g berry,2011,10.1145/2038642.2038644,2011 Proceedings of the Ninth ACM International Conference on Embedded Software (EMSOFT),IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6064505
ieee,6,10.1109/SIES.2009.5196190,Evaluation of an Esterel-based hardware/software co-design flow,P. Roessler; M. Zauner,evaluation of an esterel based hardware software co design flow,p roessler m zauner,2009,10.1109/SIES.2009.5196190,2009 IEEE International Symposium on Industrial Embedded Systems,IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5196190
ieee,7,10.1109/ICPCSN58827.2023.00227,Development and Analysis of Novel IoT based Monitoring System for Fiber Reinforced Polymer (FRP) Dust Extraction System in an Industrial Environment 4.0,S. Prashanth; S. Balasundaram; S. B. Hariharan; J. P. A,development and analysis of novel iot based monitoring system for fiber reinforced polymer frp dust extraction system in an industrial environment 4 0,s prashanth s balasundaram s b hariharan j p a,2023,10.1109/ICPCSN58827.2023.00227,2023 3rd International Conference on Pervasive Computing and Social Networking (ICPCSN),IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10266185
ieee,8,10.1109/MTDT.2007.4547622,An ALU cluster intellectual property for magnetic RAM media applications platform,Chia-Yi Liou; Herming Chiueh,an alu cluster intellectual property for magnetic ram media applications platform,chia yi liou herming chiueh,2007,10.1109/MTDT.2007.4547622,"2007 IEEE International Workshop on Memory Technology, Design and Testing",IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4547622
ieee,9,10.1109/ICESS.2009.36,Model-Based Design of Embedded Control Systems by Means of a Synchronous Intermediate Model,M. Alras; P. Caspi; A. Girault; P. Raymond,model based design of embedded control systems by means of a synchronous intermediate model,m alras p caspi a girault p raymond,2009,10.1109/ICESS.2009.36,2009 International Conference on Embedded Software and Systems,IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5066624
ieee,10,10.1109/AISTS66100.2025.11233186,Smart Structural Retrofit: Integrating CFRP Strengthening with IoT-Based Displacement Monitoring for Flexural Performance Assessment of Steel Beams,D. Parakhiya; A. Thoriya; H. Rangwala; T. Vora,smart structural retrofit integrating cfrp strengthening with iot based displacement monitoring for flexural performance assessment of steel beams,d parakhiya a thoriya h rangwala t vora,2025,10.1109/AISTS66100.2025.11233186,2025 Artificial Intelligence and Smart Technologies for Sustainability Conference (AISTS),IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11233186
ieee,11,10.1109/EUC.2011.11,A Utilization Based Sufficient Condition for P-FRP,C. Belwal; A. M. K. Cheng,a utilization based sufficient condition for p frp,c belwal a m k cheng,2011,10.1109/EUC.2011.11,2011 IFIP 9th International Conference on Embedded and Ubiquitous Computing,IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6104531
ieee,12,10.1109/ACSD.2010.25,A Formal Semantics of Clock Refinement in Imperative Synchronous Languages,M. Gemünde; J. Brandt; K. Schneider,a formal semantics of clock refinement in imperative synchronous languages,m gemünde j brandt k schneider,2010,10.1109/ACSD.2010.25,2010 10th International Conference on Application of Concurrency to System Design,IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5552679
ieee,13,10.1109/SBCCI.2000.876060,A comparison of OO and reactive based specifications on the design of embedded systems,S. A. Ito; J. C. B. de Mattos; L. Carro; S. S. Toscani,a comparison of oo and reactive based specifications on the design of embedded systems,s a ito j c b de mattos l carro s s toscani,2000,10.1109/SBCCI.2000.876060,Proceedings 13th Symposium on Integrated Circuits and Systems Design (Cat. No.PR00843),IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=876060
