title,doi,year,url,status
The design and application of functional reactive distributed process control system,10.1109/itoec.2017.8122456,2017,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8122456,3
Challenges and potential solutions for complex embedded systems,10.1145/2038642.2038644,2011,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6064505,2
A Formal Semantics of Clock Refinement in Imperative Synchronous Languages,10.1109/acsd.2010.25,2010,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5552679,3
Functional Reactive Program Translator for Controlling Robot Systems,10.1109/iccit.2007.340,2007,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4420439,1
Fast Functional Size Measurement with Synchronous Languages: An Approach Based on LUSTRE and on the Cosmic ISO 19761 Standard,10.1109/iwsm-mensura.2013.11,2013,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6693215,2
"Synchronous methodology for designing hardware, software and mixed embedded systems",10.1109/icvd.2004.1260897,2004,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1260897,1
On the compilation of statecharts models into target code for embedded systems,10.1109/cacsd.1999.808656,1999,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=808656,2
SmartC: A Component-Based Hierarchical Modeling Language for Automotive Electronics,10.1109/dasc.2006.45,2006,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4030884,
SmartC: A Component-Based Hierarchical Modeling Language for Automotive Electronics,10.1109/icarcv.2006.345212,2006,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4150282,2
Software-Defined Watchdog Timers for Cyber-Physical Systems,10.1109/les.2024.3467332,2025,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10693560,2
Building a hybrid systems modeler from synchronous language principles,10.1109/emsoft.2015.7318267,2015,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7318267,2
"Lustre, Fast First, and Fresh",10.1109/les.2024.3498932,2025,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10753468,3
Extending synchronous languages for generating abstract real-time models,10.1109/date.2002.998390,2002,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998390,3
A Hard Real Time Demonstrator for Dynamic Ticks and Timed SCCharts,10.1109/fdl50818.2020.9232943,2020,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9232943,2
Investigation of Circularly Polarized CPW Fed Antenna as a 2.45 GHz RFID Reader,10.1109/jrfid.2022.3172691,2022,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9770194,3
Exact high level WCET analysis of synchronous programs by symbolic state space exploration,10.1109/date.2003.1186386,2003,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1186386,3
Desynchronizing Synchronous Programs by Modes,10.1109/acsd.2009.24,2009,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5291070,3
Preservation of LTL properties in desynchronized systems,10.1109/memcod.2012.6292300,2012,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6292300,3
HW/SW co-design for Esterel processing,10.1145/1289816.1289842,2007,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5753867,3
Timestamp Peripherals for Precise Real-Time Programming,,2023,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10316219,1
Performing causality analysis by bounded model checking,10.1109/acsd.2008.4574599,2008,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4574599,3
Modular Verification of Synchronous Programs,10.1109/acsd.2013.10,2013,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6598342,3
Specifying Robot Reactivity in Procedural Languages,10.1109/iros.2006.281755,2006,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4058986,1
Schizophrenia and causality in the context of refined clocks,,2011,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6069475,2
Compilation of imperative synchronous programs with refined clocks,10.1109/memcod.2010.5558633,2010,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5558633,2
Timing analysis of esterel programs on general-purpose multiprocessors,,2010,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5523307,3
Separate compilation and execution of imperative synchronous modules,10.1109/date.2009.5090916,2009,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5090916,3
Synchronous control of reconfiguration in fractal component-based systems - A case study,,2011,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6064539,2
Rule-Based Approaches for Equivalence Checking of SpecC Programs,10.1109/memcod.2008.4547685,2008,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4547685,2
Running-modes of real-time systems: a case-study with mode-automata,10.1109/emrts.2000.854014,2000,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=854014,1
On-Chip Sparse Learning Acceleration With CMOS and Resistive Synaptic Devices,10.1109/tnano.2015.2478861,2015,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7268884,3
Dual-layer Trading Mechanism in the Day-ahead Market Considering Energy Storage as Flexible Ramping Product,10.1109/icites62688.2024.10777416,2024,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10777416,3
[Title page i],10.1109/rtcsa.2015.1,2015,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7299751,3
