"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Response Time Analysis for the Abort-and-Restart Event Handlers of the Priority-Based Functional Reactive Programming (P-FRP) Paradigm","J. Ras; A. M. K. Cheng","Department of Computer Science, University of Houston, TX, USA; Department of Computer Science, University of Houston, TX, USA",2009 15th IEEE International Conference on Embedded and Real-Time Computing Systems and Applications,"6 Oct 2009","2009","","","305","314","Programming microcontrollers is a different paradigm from microprocessor programming. The traditional way to program microcontrollers is to write the program in C or an assembly language, but modern embedded systems are more complex. The Priority-based Functional Reactive Programming (P-FRP) paradigm could make microcontroller programming better. P-FRP makes it possible to treat programs as functions (stateless) and amenable to proofs and type-safety. In this paper, we focus on the abort-and-restart event handler semantics of P-FRP, which is neither a concurrency control policy nor a true scheduling policy. Instead, it is a policy in which the most important task is scheduled first. This paper refines the response time analysis for the abort-and-restart model on single-core systems.","2325-1301","978-0-7695-3787-0","10.1109/RTCSA.2009.64","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5279691","P-FRP;Abort-and-Restart;Microcontroller Programming","Delay;Functional programming;Real time systems;Microcontrollers;Embedded system;Computer applications;Embedded computing;Application software;Computer science;Microprocessors","","14","","18","IEEE","6 Oct 2009","24-26 Aug. 2009","24-26 Aug. 2009","IEEE","IEEE Conferences"
"Synchronous programming of a real-time microcontroller","C. Andre; M. Peraldi","LASSY, équipe de 1'13s, Université de Nice-Sophia Antipolis, Nice, France; LASSY, équipe de 1'13s, Université de Nice-Sophia Antipolis, Nice, France",Fourth Euromicro workshop on Real-Time Systems,"6 Aug 2002","1992","","","60","65","The synchronous approach is a new and promising way to design Real-Time systems. We have applied the synchronous programming style to the design of microcontrollers. The programming style is ESTEREL, an imperative synchronous language and the target processor is RTX2000 a high-performance real-time microcontroller. Here, we describe the compilation from ESTEREL down to FORTH(RTX programming language), and we analyze the eficiency of the implementation. Because our method is based on a high-level language (ESTEREL), the developement cycle time to system implementation is drastically reduced and safer.","","0-8186-2815-4","10.1109/EMWRT.1992.637472","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=637472","","Microcontrollers;Real time systems;Concurrent computing;Electrical equipment industry;Industrial control;Programmable control;Operating systems;Power system management;Job shop scheduling","","3","","14","IEEE","6 Aug 2002","3-5 June 1992","3-5 June 1992","IEEE","IEEE Conferences"
"The design and application of functional reactive distributed process control system","H. Lv; G. Cheng; Y. Zhou; S. Qian; Y. Zhong","City Institute, Dalian University of Technology, China; City Institute, Dalian University of Technology, China; City Institute, Dalian University of Technology, China; City Institute, Dalian University of Technology, China; City Institute, Dalian University of Technology, China",2017 IEEE 3rd Information Technology and Mechatronics Engineering Conference (ITOEC),"30 Nov 2017","2017","","","773","776","Process monitoring and controlling system is essentially a data monitoring event transmission system, they are usually developed based on the procedure languange C with high cost and in low maintainability. functional reactive programming is a time-saving, bug-preventing programming paradigm worthy of control system to implement. In this paper the implementing the new kind of functional reactive programming based on combination Bacon.js, Node.js, Kafka and AngularJS in the real hot-heating supplying automatic controlling system is elaborated. In this system the functional reactive approach has been pushing both on the back-end and the front-end to simplifie controlling system desing and programming and reduce the development lifecycle.","","978-1-5090-5363-6","10.1109/ITOEC.2017.8122456","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8122456","functional reactive programming;message queue architecture;process controll system;event driven no blocking","Programming;Process control;Servers;Robot sensing systems;Actuators;Monitoring","","","","11","IEEE","30 Nov 2017","3-5 Oct. 2017","3-5 Oct. 2017","IEEE","IEEE Conferences"
"Challenges and potential solutions for complex embedded systems","G. Berry","Director of Research, INRIA Sophia-Antipolis, France",2011 Proceedings of the Ninth ACM International Conference on Embedded Software (EMSOFT),"31 Oct 2011","2011","","","1","1","In the 20th century, an embedded system was most often thought of as a single piece of equipment driven by a single software program. Many efficient modeling, programming and verification paradigms have been developed in this setting: mathematical modeling using differential equations, reactive and synchronous programming, data-flow based signal processing, model-checking, etc. In the 21st century, systems are becoming much more complex. They mix hardware and software in subtle ways, involve a large number of sensors and actuators, become physically distributed, and may be remotely controlled by Web-based devices such as smartphones. Designing and verifying such systems raises many challenges that were independently known in particular areas but now need to be solved together. Here are some: understanding the relation between continuous and discrete time models, still quite unclear in the available mathematical modelers; understanding the ways in which synchronous and asynchronous communication could work in harmony; relaxing determinacy and timing constraints without losing too much predictability; being able to write full and faithful simulators of systems before building them, which is still a big problem in areas such as SoCs or transportation networks; developing methods to couple classical embedded systems with Web-based systems, which are of a very different nature. We will review some of the new problems posed in this area and some emerging solutions that could be applied to them, taking the notion of causality as the pivot of our reflections.","","978-1-4503-0714-7","10.1145/2038642.2038644","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6064505","Embedded systems;plenum talk","Mathematical model;Embedded systems;Programming;Predictive models;Actuators;Transportation","","3","","","","31 Oct 2011","9-14 Oct. 2011","9-14 Oct. 2011","IEEE","IEEE Conferences"
"Evaluation of an Esterel-based hardware/software co-design flow","P. Roessler; M. Zauner","University of Applied Science Technikum Wien, Wien, Austria; University of Applied Science Technikum Wien, Wien, Austria",2009 IEEE International Symposium on Industrial Embedded Systems,"7 Aug 2009","2009","","","42","45","This work describes the evaluation of a hardware/software co-design flow based on the synchronous language Esterel. The paper starts with a short introduction into Esterel and tackles available tools. The focus of this work is an examination of the design flow concerning the practical applicability, based on case studies and related work. Advantages and draw-backs of the design flow are discussed and compared to traditional hardware/software design flows.","2150-3117","978-1-4244-4109-9","10.1109/SIES.2009.5196190","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5196190","Hardware/Software Co-Design;Embedded Systems Design;Esterel;Synchronous Languages","Software design;Embedded software;Field programmable gate arrays;Software systems;Embedded system;Hardware design languages;Space exploration;Engines;Instruments;Circuits","","1","","20","IEEE","7 Aug 2009","8-10 July 2009","8-10 July 2009","IEEE","IEEE Conferences"
"Development and Analysis of Novel IoT based Monitoring System for Fiber Reinforced Polymer (FRP) Dust Extraction System in an Industrial Environment 4.0","S. Prashanth; S. Balasundaram; S. B. Hariharan; J. P. A","Department of Aeronautical Engineering, Excel Engineering College, Namakkal, Tamil Nadu, India; Department of Aeronautical Engineering, Excel Engineering College, Namakkal, Tamil Nadu, India; Department of Industrial Safety & Engineering, Excel Engineering College, Namakkal, Tamil Nadu, India; Department of Industrial Safety & Engineering, Excel Engineering College, Namakkal, Tamil Nadu, India",2023 3rd International Conference on Pervasive Computing and Social Networking (ICPCSN),"4 Oct 2023","2023","","","1352","1359","The objective of this study is to develop and analyze a novel IoT-based monitoring system for a Fiber Reinforced Polymer (FRP) dust extraction system in an industrial environment 4.0. The system is composed of a microcontroller, a dust sensor, a flue gas energy recovery system, and an IoT system. The microcontroller collects dust density data from the dust sensor, and the flue gas energy recovery system provides power to a battery from a generator. The IoT system monitors both the energy recovery system and the dust extraction system. The study was conducted in both laboratory and open-space environments, and the results were compared. The accumulated amount of dust sensed by the sensor was 29363.58 mg/m3 after three days of monitoring, and the efficiency of the flue gas energy recovery system decreased from 8.8% to 0.74% over the same period. These results demonstrate the importance of monitoring both the dust extraction system and the energy recovery system to optimize their performance and minimize the impact of dust on the environment. The novel IoT-based monitoring system developed in this research provides a valuable tool for industry 4.0. Its ability to keep track of events in real time and scrutinize data empowers a dust removal method that is both more productive and eco-friendly, lessening the environmental impact of industrial operations. This study's outcomes support the evolution of sustainable and environmentally conscious industrial techniques.","","979-8-3503-2284-2","10.1109/ICPCSN58827.2023.00227","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10266185","Internet of things;Hazardous management;Dust extraction system;FRP","Productivity;Optical fiber sensors;Microcontrollers;Social networking (online);Industrial facilities;Real-time systems;Road traffic","","","","29","IEEE","4 Oct 2023","19-20 June 2023","19-20 June 2023","IEEE","IEEE Conferences"
"An ALU cluster intellectual property for magnetic RAM media applications platform","Chia-Yi Liou; Herming Chiueh","Department of Communication Engineering, National Chiao Tung University, HsinChu, Taiwan; Department of Communication Engineering, National Chiao Tung University, HsinChu, Taiwan","2007 IEEE International Workshop on Memory Technology, Design and Testing","20 Jun 2008","2007","","","67","70","The next generation memory, Magnetic Random Access Memory (MRAM), is a high-profile choice of embedded memory in modern applications. Features of the novel memory make it suitable for universal memory applications. Besides, as the evolution of information technology, embedded systems with media applications for portable devices are more important in modern life. In both of the perspectives mentioned above, a processing element called Arithmetic Logic Unit (ALU) cluster Intellectual Property (IP) is designed and implemented to be integrated with MRAM and the platform baseboard in this work. To stack these components such as an ALU cluster, MRAM and versatile baseboard provides a development, verification and demonstration platform for the highly-expected MRAM. The proposed ALU cluster IP with Advanced Microcontroller Bus Architecture (AMBA) interface is taped out using TSMC 0.15um technology and operates at 100MHz. The chip area is 3.9*3.9 mm2 and gate count is 0.2 million. A 4-layer FRP printed circuit board (PCB) is designed and fabricated as the daughter card for system integration. The daughter card carries the designed chip is integrated to ARM versatile platform board and the PCB of MRAM as the system integration and application development environment.","1087-4852","978-1-4244-1656-1","10.1109/MTDT.2007.4547622","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4547622","","Intellectual property;Random access memory;Read-write memory;Information technology;Embedded system;Arithmetic;Logic devices;Logic design;Microcontrollers;Integrated circuit technology","","","","10","IEEE","20 Jun 2008","3-5 Dec. 2007","3-5 Dec. 2007","IEEE","IEEE Conferences"
"Model-Based Design of Embedded Control Systems by Means of a Synchronous Intermediate Model","M. Alras; P. Caspi; A. Girault; P. Raymond","INRIA Grenoble Rhône-Alpes-France, Verimag-CNRS and University of Grenoble-France, France; INRIA Grenoble Rhône-Alpes-France, Verimag-CNRS and University of Grenoble-France, France; INRIA Grenoble Rhône-Alpes-France, Verimag-CNRS and University of Grenoble-France, France; INRIA Grenoble Rhône-Alpes-France, Verimag-CNRS and University of Grenoble-France, France",2009 International Conference on Embedded Software and Systems,"5 Jun 2009","2009","","","3","10","Model-based design (MBD) involves designing a model of a control system, simulating and debugging it with dedicated tools, and finally generating automatically code corresponding to this model. In the domain of embedded systems, it offers the huge advantage of avoiding the time-consuming and error-prone final coding phase. The main issue raised by MBD is the faithfulness of the generated code with respect to the initial model, the latter being defined by the simulation semantics. To bridge the gap between the high-level model and the low-level implementation, we use the synchronous programming language Lustre as an intermediate formal model. Concretely, starting from a high-level model specified in the de-facto standard Simulink, we first generate Lustre code along with some structured ""glue code"", and then we generate embedded real-time code for the Xenomai RTOS. Thanks to Lustre's clean mathematical semantics, we are able to guarantee the faithfulness of the generated multi-tasked real-time code.","","978-1-4244-4359-8","10.1109/ICESS.2009.36","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5066624","Model-based design;embedded systems;code generation;synchronous languages;real-time systems","Control system synthesis;Automatic control;Computational modeling;Automatic generation control;Embedded software;Bridges;Clocks;Debugging;Synchronous generators;Embedded system","","8","","15","IEEE","5 Jun 2009","25-27 May 2009","25-27 May 2009","IEEE","IEEE Conferences"
"Smart Structural Retrofit: Integrating CFRP Strengthening with IoT-Based Displacement Monitoring for Flexural Performance Assessment of Steel Beams","D. Parakhiya; A. Thoriya; H. Rangwala; T. Vora","Department of Civil Engineering, Marwadi University, Rajkot, India; Department of Civil Engineering, Marwadi University, Rajkot, India; Department of Civil Engineering, Marwadi University, Rajkot, India; Department of Civil Engineering, Marwadi University, Rajkot, India",2025 Artificial Intelligence and Smart Technologies for Sustainability Conference (AISTS),"17 Nov 2025","2025","","","1","5","This study presents a smart retrofit strategy to enhance the flexural performance of steel beams by combining Carbon Fiber Reinforced Polymer (CFRP) strengthening with an Internet of Things (IoT)-enabled displacement monitoring system. CFRP is favoured for its high strength-to-weight ratio, corrosion resistance, and ease of application, but bonding challenges-particularly premature debonding-limit its long-term reliability. The experimental program evaluated channel and rectangular hollow steel sections retrofitted with single-layer (SL) and double-layer (DL) CFRP wraps using adhesive bonding. Three-point and four-point bending tests revealed that DL configurations significantly improved performance, increasing load capacity by up to 96.6% for channel sections and 92.4% for RHS specimens. To enable real-time performance tracking, a CDP-50 displacement transducer was integrated with a custom IoT system comprising a signal conditioning module, ESP32 microcontroller, and NB-IoT communication. This setup enabled wireless data transmission, cloud-based visualization, and long-term structural health assessment. Results demonstrate that double-layer CFRP substantially enhances both strength and ductility, while the IoT-enabled monitoring system provides scalable, real-time insights into structural behaviour. This integrated approach offers a practical, data-driven solution for modern infrastructure rehabilitation and smart structural monitoring.","","979-8-3315-9852-5","10.1109/AISTS66100.2025.11233186","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11233186","Fibre Reinforced Polymer;IoT;Flexural Strengthening;Tensile Capacity;Steel Element;Bond Behaviour;FRP Retrofit","Wireless communication;Wireless sensor networks;Microcontrollers;Real-time systems;Optical fiber communication;Steel;Polymers;Structural beams;Internet of Things;Monitoring","","","","17","IEEE","17 Nov 2025","21-23 Aug. 2025","21-23 Aug. 2025","IEEE","IEEE Conferences"
"A Utilization Based Sufficient Condition for P-FRP","C. Belwal; A. M. K. Cheng","Department of Computer Science, University of Houston, TX, USA; Department of Computer Science, University of Houston, TX, USA",2011 IFIP 9th International Conference on Embedded and Ubiquitous Computing,"15 Dec 2011","2011","","","237","242","Priority-based Functional Reactive Programming (P-FRP) is a new functional programming formalism for developing safety-critical embedded systems. P-FRP allows static priority assignment and guarantees real-time response by preempting lower priority tasks. Due to the state-less nature of functional programs, preempted tasks in P-FRP are aborted and have to restart after the higher priority tasks have completed execution. Since the execution semantics of P-FRP are different from the classical preemptive model of execution, existing utilization based sufficient conditions cannot be applied. In this paper, we derive a new utilization based sufficient schedulability condition for P-FRP, and validate it using experimental task sets.","","978-1-4577-1822-9","10.1109/EUC.2011.11","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6104531","Schedulability analysis;functional programming;sufficient test;utilization bound;worst-case response time","Time factors;Sufficient conditions;Semantics;Real time systems;Functional programming;Processor scheduling","","4","","15","IEEE","15 Dec 2011","24-26 Oct. 2011","24-26 Oct. 2011","IEEE","IEEE Conferences"
