database,source_row,source_id,title,authors,normalized_title,normalized_authors,year,doi,publication_title,document_type,url
springer,2,10.1007/978-3-032-06691-6_25,Accident Detection and Emergency Support System for Scooters Based on Edge AI Technology,M. S. TanmayNeeraj Rajiv ShivamVeena ShivannaD. SathyaChandramouleeswaran Sankaran,accident detection and emergency support system for scooters based on edge ai technology,m s tanmayneeraj rajiv shivamveena shivannad sathyachandramouleeswaran sankaran,2026,10.1007/978-3-032-06691-6_25,ICT Analysis and Applications,Conference paper,https://link.springer.com/chapter/10.1007/978-3-032-06691-6_25
springer,3,10.1007/978-3-031-91550-5_18,Indoor Navigation Systems for Visually Impaired Persons: A Comprehensive Review of Technologies and Approaches,Marius GudauskisArūnas ŽvironasDarius Plikynas,indoor navigation systems for visually impaired persons a comprehensive review of technologies and approaches,marius gudauskisarūnas žvironasdarius plikynas,2026,10.1007/978-3-031-91550-5_18,Mobility of Visually Impaired People,Chapter,https://link.springer.com/chapter/10.1007/978-3-031-91550-5_18
springer,4,10.1007/978-3-031-33211-1_34,Open-Source EMM-ARM Implementation for Mortars Based on Single-Board Computer,Thomas RussoMiguel AzenhaJosé Granja,open source emm arm implementation for mortars based on single board computer,thomas russomiguel azenhajosé granja,2023,10.1007/978-3-031-33211-1_34,International RILEM Conference on Synergising Expertise towards Sustainability and Robustness of Cement-based Materials and Concrete Structures,Conference paper,https://link.springer.com/chapter/10.1007/978-3-031-33211-1_34
springer,5,10.1038/s41598-026-40112-6,Impact of virtual threads and garbage collection on energy efficiency of Java applications for battery powered IoT devices,S. Shanjai KumarB. N. SanjaiS. Etheeswar KaarthiV. SivakumarS. Jagadeesan,impact of virtual threads and garbage collection on energy efficiency of java applications for battery powered iot devices,s shanjai kumarb n sanjais etheeswar kaarthiv sivakumars jagadeesan,2026,10.1038/s41598-026-40112-6,Scientific Reports,Article,https://link.springer.com/article/10.1038/s41598-026-40112-6
springer,6,10.1007/978-3-031-52038-9_2,Asynchronous Reactive Programming with Modal Types in Haskell,Patrick BahrEmil HoulborgGregers Thomas Skat Rørdam,asynchronous reactive programming with modal types in haskell,patrick bahremil houlborggregers thomas skat rørdam,2023,10.1007/978-3-031-52038-9_2,Practical Aspects of Declarative Languages,Conference paper,https://link.springer.com/chapter/10.1007/978-3-031-52038-9_2
springer,7,10.1038/s41598-026-42110-0,Cost-effective FRP solutions for enhancing strength and strain of sustainable concrete made with waste tyre rubber,Panumas SaingamBurachat ChatveeraQudeer HussainGritsada Sua-iamPreeda ChaimahawanChisanuphong SuthummaAfaq Ahmad,cost effective frp solutions for enhancing strength and strain of sustainable concrete made with waste tyre rubber,panumas saingamburachat chatveeraqudeer hussaingritsada sua iampreeda chaimahawanchisanuphong suthummaafaq ahmad,2026,10.1038/s41598-026-42110-0,Scientific Reports,Article,https://link.springer.com/article/10.1038/s41598-026-42110-0
springer,8,10.1007/978-3-031-42833-3_1,Writing Internet of Things Applications with Task Oriented Programming,Mart LubbersPieter KoopmanRinus Plasmeijer,writing internet of things applications with task oriented programming,mart lubberspieter koopmanrinus plasmeijer,2023,10.1007/978-3-031-42833-3_1,"Composability, Comprehensibility and Correctness of Working Software",Conference paper,https://link.springer.com/chapter/10.1007/978-3-031-42833-3_1
springer,9,10.1038/s41467-025-56081-9,Syntalos: a software for precise synchronization of simultaneous multi-modal data acquisition and closed-loop interventions,Matthias KlumppLee EmbrayFilippo HeimburgAna Luiza Alves DiasJustus SimonAlexander GrohAndreas DraguhnMartin Both,syntalos a software for precise synchronization of simultaneous multi modal data acquisition and closed loop interventions,matthias klumpplee embrayfilippo heimburgana luiza alves diasjustus simonalexander grohandreas draguhnmartin both,2025,10.1038/s41467-025-56081-9,Nature Communications,Article,https://link.springer.com/article/10.1038/s41467-025-56081-9
springer,10,10.1007/978-981-92-0284-3_2,"Quality, Quantity, and Type Detection of Food Items in Refrigerator Using Deep Vision and IoT",Umar AbdullahArshad AlamShilpi Sharma,quality quantity and type detection of food items in refrigerator using deep vision and iot,umar abdullaharshad alamshilpi sharma,2026,10.1007/978-981-92-0284-3_2,Advances in Intelligent Asset Management and Maintenance,Conference paper,https://link.springer.com/chapter/10.1007/978-981-92-0284-3_2
springer,11,10.1007/978-981-97-6675-8_49,TerrAINexus,Kartik BhasinKushagraAshutosh MishraSanjay Kumar Singh,terrainexus,kartik bhasinkushagraashutosh mishrasanjay kumar singh,2024,10.1007/978-981-97-6675-8_49,ICT for Intelligent Systems,Conference paper,https://link.springer.com/chapter/10.1007/978-981-97-6675-8_49
springer,12,10.1007/978-981-99-9436-6_31,A Smart Solution for Safe and Efficient Traffic Flow for Bridge,Kiran IngaleRiya TambeShubham ThakurSanket ThiteAditya WarkeKapil Wavale,a smart solution for safe and efficient traffic flow for bridge,kiran ingaleriya tambeshubham thakursanket thiteaditya warkekapil wavale,2024,10.1007/978-981-99-9436-6_31,Trends in Sustainable Computing and Machine Intelligence,Conference paper,https://link.springer.com/chapter/10.1007/978-981-99-9436-6_31
springer,13,10.1007/978-3-031-95589-1_5,Mimosa: A Language for Asynchronous Implementation of Embedded Systems Software,Nikolaus HuberSusanne GrafPhilipp RümmerWang Yi,mimosa a language for asynchronous implementation of embedded systems software,nikolaus hubersusanne grafphilipp rümmerwang yi,2025,10.1007/978-3-031-95589-1_5,Coordination Models and Languages,Conference paper,https://link.springer.com/chapter/10.1007/978-3-031-95589-1_5
springer,14,10.1007/s41024-025-00726-1,A novel anomaly detection approach for structural health monitoring using multiple linear regression technique,Siraj Qays MahdiSadik Kamel GharghanAmmar Hussein Mutlag,a novel anomaly detection approach for structural health monitoring using multiple linear regression technique,siraj qays mahdisadik kamel gharghanammar hussein mutlag,2025,10.1007/s41024-025-00726-1,Journal of Building Pathology and Rehabilitation,Article,https://link.springer.com/article/10.1007/s41024-025-00726-1
springer,15,10.1007/978-3-031-97578-3_62,In-Visible Island: Collaborative Creativity at the Core of Inclusive Children’s Tangible Interaction,Ruhiyati Idayu Abu TalibPredrag K. NikolicMohd Shahrizal Sunar,in visible island collaborative creativity at the core of inclusive children s tangible interaction,ruhiyati idayu abu talibpredrag k nikolicmohd shahrizal sunar,2025,10.1007/978-3-031-97578-3_62,Emerging Science and Technology for Human Well-Being,Conference paper,https://link.springer.com/chapter/10.1007/978-3-031-97578-3_62
springer,16,10.1007/978-3-032-11791-5_57,Computer-Aided Design of IoT Products – A Case Study of Pest-Control Machine for Farmland,Chia-Hsiang LinTing-Yu WuWei-Chen WangChun-Shung FengTsu-Wu Hu,computer aided design of iot products a case study of pest control machine for farmland,chia hsiang linting yu wuwei chen wangchun shung fengtsu wu hu,2026,10.1007/978-3-032-11791-5_57,Advances in Sustainable Mechanical Manufacturing,Conference paper,https://link.springer.com/chapter/10.1007/978-3-032-11791-5_57
springer,17,10.1007/978-981-99-8976-8_43,MED-H: Smart Healthcare System Based on IoT and Rule Set,Long-Phuoc TônThe-Hau NguyenHuu-Hien Hoang,med h smart healthcare system based on iot and rule set,long phuoc tônthe hau nguyenhuu hien hoang,2024,10.1007/978-981-99-8976-8_43,Proceedings of Second International Conference on Intelligent System,Conference paper,https://link.springer.com/chapter/10.1007/978-981-99-8976-8_43
springer,18,10.1007/s11227-023-05411-z,Monitoring routing status of UAV networks with NB-IoT,Ji’ao TangXiaojun ZhuLu LinChao DongLei Zhang,monitoring routing status of uav networks with nb iot,ji ao tangxiaojun zhulu linchao donglei zhang,2023,10.1007/s11227-023-05411-z,The Journal of Supercomputing,Article,https://link.springer.com/article/10.1007/s11227-023-05411-z
springer,19,10.1038/s41598-025-16030-4,Sustainable hydroponic production using solar energy and treated greywater within the water-energy-food-environment nexus,Mahmoud A. AbdelhamidSobhy M. MahmoudMohamed K. Abou El-NasrZhao ZhangZeinab M. Hendy,sustainable hydroponic production using solar energy and treated greywater within the water energy food environment nexus,mahmoud a abdelhamidsobhy m mahmoudmohamed k abou el nasrzhao zhangzeinab m hendy,2025,10.1038/s41598-025-16030-4,Scientific Reports,Article,https://link.springer.com/article/10.1038/s41598-025-16030-4
springer,20,10.1186/s43251-025-00194-0,AI-based damage detection in prestressed concrete beams: a vision-integrated deep learning framework for crack localization and severity classification,Thanh Q. NguyenPhuong Phan-VuPhuoc T. Nguyen,ai based damage detection in prestressed concrete beams a vision integrated deep learning framework for crack localization and severity classification,thanh q nguyenphuong phan vuphuoc t nguyen,2026,10.1186/s43251-025-00194-0,Advances in Bridge Engineering,Article,https://link.springer.com/article/10.1186/s43251-025-00194-0
