Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Accident Detection and&#xa0;Emergency Support System for&#xa0;Scooters Based on&#xa0;Edge AI Technology,ICT Analysis and Applications,,,,10.1007/978-3-032-06691-6_25,M. S. TanmayNeeraj Rajiv ShivamVeena ShivannaD. SathyaChandramouleeswaran Sankaran,2026,https://link.springer.com/chapter/10.1007/978-3-032-06691-6_25,Conference paper
Indoor Navigation Systems for Visually Impaired Persons: A Comprehensive Review of Technologies and Approaches,Mobility of Visually Impaired People,,,,10.1007/978-3-031-91550-5_18,Marius GudauskisArūnas ŽvironasDarius Plikynas,2026,https://link.springer.com/chapter/10.1007/978-3-031-91550-5_18,Chapter
Open-Source EMM-ARM Implementation for Mortars Based on Single-Board Computer,International RILEM Conference on Synergising Expertise towards Sustainability and Robustness of Cement-based Materials and Concrete Structures,,,,10.1007/978-3-031-33211-1_34,Thomas RussoMiguel AzenhaJosé Granja,2023,https://link.springer.com/chapter/10.1007/978-3-031-33211-1_34,Conference paper
Asynchronous Reactive Programming with&#xa0;Modal Types in&#xa0;Haskell,Practical Aspects of Declarative Languages,,,,10.1007/978-3-031-52038-9_2,Patrick BahrEmil HoulborgGregers Thomas Skat Rørdam,2023,https://link.springer.com/chapter/10.1007/978-3-031-52038-9_2,Conference paper
Writing Internet of&#xa0;Things Applications with&#xa0;Task Oriented Programming,"Composability, Comprehensibility and Correctness of Working Software",,,,10.1007/978-3-031-42833-3_1,Mart LubbersPieter KoopmanRinus Plasmeijer,2023,https://link.springer.com/chapter/10.1007/978-3-031-42833-3_1,Conference paper
"Quality, Quantity, and Type Detection of Food Items in Refrigerator Using Deep Vision and IoT",Advances in Intelligent Asset Management and Maintenance,,,,10.1007/978-981-92-0284-3_2,Umar AbdullahArshad AlamShilpi Sharma,2026,https://link.springer.com/chapter/10.1007/978-981-92-0284-3_2,Conference paper
TerrAINexus,ICT for Intelligent Systems,,,,10.1007/978-981-97-6675-8_49,Kartik BhasinKushagraAshutosh MishraSanjay Kumar Singh,2024,https://link.springer.com/chapter/10.1007/978-981-97-6675-8_49,Conference paper
Mimosa: A Language for&#xa0;Asynchronous Implementation of&#xa0;Embedded Systems Software,Coordination Models and Languages,,,,10.1007/978-3-031-95589-1_5,Nikolaus HuberSusanne GrafPhilipp RümmerWang Yi,2025,https://link.springer.com/chapter/10.1007/978-3-031-95589-1_5,Conference paper
A Smart Solution for Safe and Efficient Traffic Flow for Bridge,Trends in Sustainable Computing and Machine Intelligence,,,,10.1007/978-981-99-9436-6_31,Kiran IngaleRiya TambeShubham ThakurSanket ThiteAditya WarkeKapil Wavale,2024,https://link.springer.com/chapter/10.1007/978-981-99-9436-6_31,Conference paper
A novel anomaly detection approach for structural health monitoring using multiple linear regression technique,Journal of Building Pathology and Rehabilitation,,,,10.1007/s41024-025-00726-1,Siraj Qays MahdiSadik Kamel GharghanAmmar Hussein Mutlag,2025,https://link.springer.com/article/10.1007/s41024-025-00726-1,Article
In-Visible Island: Collaborative Creativity at the Core of Inclusive Children’s Tangible Interaction,Emerging Science and Technology for Human Well-Being,,,,10.1007/978-3-031-97578-3_62,Ruhiyati Idayu Abu TalibPredrag K. NikolicMohd Shahrizal Sunar,2025,https://link.springer.com/chapter/10.1007/978-3-031-97578-3_62,Conference paper
Computer-Aided Design of IoT Products – A Case Study of Pest-Control Machine for Farmland,Advances in Sustainable Mechanical Manufacturing,,,,10.1007/978-3-032-11791-5_57,Chia-Hsiang LinTing-Yu WuWei-Chen WangChun-Shung FengTsu-Wu Hu,2026,https://link.springer.com/chapter/10.1007/978-3-032-11791-5_57,Conference paper
MED-H: Smart Healthcare System Based on IoT and Rule Set,Proceedings of Second International Conference on Intelligent System,,,,10.1007/978-981-99-8976-8_43,Long-Phuoc TônThe-Hau NguyenHuu-Hien Hoang,2024,https://link.springer.com/chapter/10.1007/978-981-99-8976-8_43,Conference paper
Monitoring routing status of UAV networks with NB-IoT,The Journal of Supercomputing,,,,10.1007/s11227-023-05411-z,Ji’ao TangXiaojun ZhuLu LinChao DongLei Zhang,2023,https://link.springer.com/article/10.1007/s11227-023-05411-z,Article
Communication for&#xa0;Task-Oriented Systems with&#xa0;Edge Devices,Trends in Functional Programming,,,,10.1007/978-3-031-99751-8_20,Niek JanssenMart LubbersPieter Koopman,2026,https://link.springer.com/chapter/10.1007/978-3-031-99751-8_20,Conference paper
"Study on Fiber Grading, Fracture Strength, and Frictional Coefficient on Crashworthy Property of Glass Fiber Reinforced MWCNT Blended Polymer Tubes",Journal of The Institution of Engineers (India): Series D,,,,10.1007/s40033-026-01059-0,K. Y. ChethanaY. S. Ram MohanP. Deepak KumarM. RavikumarG. S. DivyaA. RajeshRadha GuptaB. N. Deepak KumarSmita SinghAdem Abdirkadir Aden,2026,https://link.springer.com/article/10.1007/s40033-026-01059-0,Article
AI-based damage detection in prestressed concrete beams: a vision-integrated deep learning framework for crack localization and severity classification,Advances in Bridge Engineering,,,,10.1186/s43251-025-00194-0,Thanh Q. NguyenPhuong Phan-VuPhuoc T. Nguyen,2026,https://link.springer.com/article/10.1186/s43251-025-00194-0,Article
