database,source_row,source_id,title,authors,normalized_title,normalized_authors,year,doi,publication_title,document_type,url
wos,2,WOS:001142109200005,Implementation and Evaluation of an Interpreter for Functional Reactive Programming on Small Embedded Devices,"Suzuki, G; Watanabe, T; Moriguchi, S",implementation and evaluation of an interpreter for functional reactive programming on small embedded devices,suzuki g watanabe t moriguchi s,2023,10.1145/3594671.3594674,"COMPANION PROCEEDINGS OF THE 7TH INTERNATIONAL CONFERENCE ON THE ART, SCIENCE, AND ENGINEERING OF PROGRAMMING, PROGRAMMING 2023",Proceedings Paper,View Full Record in Web of Science
wos,3,WOS:000431847000001,CFRP: A Functional Reactive Programming Language for Small-Scale Embedded Systems,"Suzuki, K; Nagayama, K; Sawada, K; Watanabe, T",cfrp a functional reactive programming language for small scale embedded systems,suzuki k nagayama k sawada k watanabe t,2018,,THEORY AND PRACTICE OF COMPUTATION,Proceedings Paper,View Full Record in Web of Science
wos,4,WOS:000389810000014,Emfrp: A Functional Reactive Programming Language for Small-Scale Embedded Systems,"Sawada, K; Watanabe, T",emfrp a functional reactive programming language for small scale embedded systems,sawada k watanabe t,2016,10.1145/2892664.2892670,COMPANION PROCEEDINGS OF THE 15TH INTERNATIONAL CONFERENCE ON MODULARITY (MODULARITY COMPANION'16),Proceedings Paper,View Full Record in Web of Science
wos,5,WOS:000276774500034,Response Time Analysis for the Abort-and-Restart Event Handlers of the Priority-Based Functional Reactive Programming (P-FRP) Paradigm,"Ras, J; Cheng, AMK",response time analysis for the abort and restart event handlers of the priority based functional reactive programming p frp paradigm,ras j cheng amk,2009,10.1109/RTCSA.2009.64,"2009 15TH IEEE INTERNATIONAL CONFERENCE ON EMBEDDED AND REAL-TIME COMPUTING SYSTEMS AND APPLICATIONS, PROCEEDINGS",Proceedings Paper,View Full Record in Web of Science
wos,6,WOS:001142735400005,Periodic and Aperiodic Task Description Mechanisms in an FRP Language for Small-Scale Embedded Systems,"Sogo, K; Tsuji, Y; Moriguchi, S; Watanabe, T",periodic and aperiodic task description mechanisms in an frp language for small scale embedded systems,sogo k tsuji y moriguchi s watanabe t,2023,10.1145/3623506.3623578,"PROCEEDINGS OF THE 10TH ACM SIGPLAN INTERNATIONAL WORKSHOP ON REACTIVE AND EVENT-BASED LANGUAGES AND SYSTEMS, REBLS 2023",Proceedings Paper,View Full Record in Web of Science
wos,7,WOS:000511348500013,Rhine: FRP with Type-Level Clocks,"Bärenz, M; Perez, I",rhine frp with type level clocks,bärenz m perez i,2018,10.1145/3242744.3242757,PROCEEDINGS OF THE 11TH ACM SIGPLAN INTERNATIONAL SYMPOSIUM ON HASKELL (HASKELL '18),Proceedings Paper,View Full Record in Web of Science
wos,8,WOS:000452800400013,Rhine: FRP with Type-Level Clocks,"Bärenz, M; Perez, I",rhine frp with type level clocks,bärenz m perez i,2018,10.1145/3242744.3242757,ACM SIGPLAN NOTICES,Proceedings Paper,View Full Record in Web of Science
wos,9,WOS:001315083400002,Towards a Statically Scheduled Parallel Execution of an FRP Language for Embedded Systems,"Sakurai, Y; Watanabe, T",towards a statically scheduled parallel execution of an frp language for embedded systems,sakurai y watanabe t,2019,10.1145/3358503.3361276,"PROCEEDINGS OF THE 6TH ACM SIGPLAN INTERNATIONAL WORKSHOP ON REACTIVE AND EVENT-BASED LANGUAGES AND SYSTEMS, REBLS 2019",Proceedings Paper,View Full Record in Web of Science
wos,10,WOS:000280546200004,Safe Functional Reactive Programming through Dependent Types,"Sculthorpe, N; Nilsson, H",safe functional reactive programming through dependent types,sculthorpe n nilsson h,2009,,ICFP'09: PROCEEDINGS OF THE 2009 ACM SIGPLAN INTERNATIONAL CONFERENCE ON FUNCTIONAL PROGRAMMING,Proceedings Paper,View Full Record in Web of Science
wos,11,WOS:000271211700005,Safe Functional Reactive Programming through Dependent Types,"Sculthorpe, N; Nilsson, H",safe functional reactive programming through dependent types,sculthorpe n nilsson h,2009,10.1145/1631687.1596558,ACM SIGPLAN NOTICES,Article; Proceedings Paper,View Full Record in Web of Science
