title,doi,year,url,status
CFRP: A Functional Reactive Programming Language for Small-Scale Embedded Systems,,2018,,2
Safe Functional Reactive Programming through Dependent Types,,2009,,1
Determining Actual Response Time in P-FRP,,2011,,1
Function-Oriented Decomposition for Reactive Embedded Software,10.1109/seaa.2017.42,2017,,2
Synchronous Techniques for Software and Hardware Embedded Systems,10.3233/978-1-58603-976-9-43,2009,,2
Autonomic Management of Missions and Reconfigurations in FPGA-based Embedded System,,2017,,
Fault Tolerant Functional Reactive Programming (Functional Pearl),10.1145/3236791,2018,,
Towards a Signal Calculus for Event-Based Synchronous Languages,,2011,,
An ESTEREL-based reactive JAVA extension for reactive embedded systems development,,2001,,
An ALU cluster Intellectual Property for magnetic RAM media applications platform,,2008,,
The synchronous languages 12 years later,10.1109/jproc.2002.805826,2003,,
Targeting Different Abstraction Layers by Model-Based Design Methods for Embedded Systems: A Case Study,,2013,,
Cognizant Fiber-Reinforced Polymer Composites Incorporating Seamlessly Integrated Sensing and Computing Circuitry,10.3390/polym15224401,2023,,
"Blech, imperative synchronous programming!",,2018,,
Polychronous methodology for system design: A true concurrency approach,,2006,,
Validating real-time constraints in embedded systems,,2001,,
Polymer Composite-Enabled UAV Platform for Edge AI-Based Precision Agriculture: A System-Level Evaluation,,2026,,
Parallel Code Generation of Synchronous Programs for a Many-core Architecture,,2018,,
Relaxing the Synchronous Approach for Mixed-Criticality Systems,,2014,,
Static Analysis of Synchronous Programs in Signal for Efficient Design of Multi-Clocked Embedded Systems,10.1145/2016603.1967688,2011,,
Algebraic Framework for Synchronous Language Semantics,10.1109/tase.2013.15,2013,,
Static Analysis of Synchronous Programs in Signal for Efficient Design of Multi-Clocked Embedded Systems,,2011,,
Hop and HipHop: Multitier Web Orchestration,,2014,,
A formal approach to component based development of synchronous programs,,2001,,
Heterogeneous reactive systems modeling and correct-by-construction deployment,,2003,,
The Fundamentals of Hybrid Systems Modelers,10.1109/cdc.2010.5717614,2010,,
Time in SCCharts,10.1007/978-3-030-31585-6_1,2020,,
Programming and Timing Analysis of Parallel Programs on Multicores,10.1109/acsd.2013.19,2013,,
Synchronous Programming of Device Drivers for Global Resource Control in Embedded Operating Systems,10.1145/2016603.1967689,2011,,
Contracts for Modular Discrete Controller Synthesis,,2010,,
SAGE: A Logical Agent-Based Environment Monitoring and Control System,,2009,,
Bridging the abstraction gap for the design of embedded reactive systems using Esterel - A case study,,2008,,
The Efficient Multiprocessor Implementation of Synchronous Reactive Components,10.1109/isorc49007.2020.00014,2020,,
Non-standard semantics of hybrid systems modelers,10.1016/j.jcss.2011.08.009,2012,,
Timing Analysis of Synchronous Programs using WCRT Algebra: Scalability through Abstraction,10.1145/3126520,2017,,
Precision Timed Embedded Systems Using TickPAD Memory,10.1109/acsd.2013.20,2013,,
Synchronous Programming of Device Drivers for Global Resource Control in Embedded Operating Systems,,2011,,
Synchronous Modeling and Validation of Priority Inheritance Schedulers,,2009,,
SmartC: A component-based hierarchical modeling language for automotive electronics,,2006,,
AUTOMATIC MODULAR ABSTRACTIONS FOR TEMPLATE NUMERICAL CONSTRAINTS,10.2168/lmcs,2010,,
TimeSquare: Treat Your Models with Logical Time,,2012,,
Programming Deterministic Reactive Systems with Synchronous Java,,2013,,
On the polychronous approach to embedded software design - A POMSET interpretation of endochrony,10.1007/978-1-4020-6254-4_20,2007,,
Towards Sparse Synchronous Programming in Lua,10.1145/3576914.3587502,2023,,
Integrated manufacturing system of high-pressure FRP pipes,,2007,,
Building a Hybrid Systems Modeler from Synchronous Language Principles,,2015,,
Embedding Polychrony into Synchrony,10.1109/tse.2012.85,2013,,
Divide and Recycle: Types and Compilation for a Hybrid Synchronous Language,,2011,,
P2I: An innovative MDA methodology for embedded real-time system,,2005,,
Divide and Recycle: Types and Compilation for a Hybrid Synchronous Language,10.1145/2016603.1967687,2011,,
Loosely Time-Triggered Architectures: Improvements and Comparisons,10.1145/2932189,2016,,
Certifying and Reasoning on Cost Annotations in C Programs,,2012,,
Reliability assessment of pultruded FRP reinforcements with embedded fiber optic sensors,10.1016/s0263-8223(00)00081-7,2000,,
Methodology for Forensics Data Reconstruction on Mobile Devices with Android Operating System Applying In-System Programming and Combination Firmware,10.3390/app10124231,2020,,
Monitoring Distributed Reactive Systems,,2012,,
"A Calculus for Esterel If can, can. If no can, no can",10.1145/3290374,2019,,
Time-safety checking for embedded programs,,2002,,
An Alternative Polychronous Model and Synthesis Methodology for Model-Driven Embedded Software,10.1109/aspdac.2010.5419925,2010,,
Modular Code Generation from Synchronous Block Diagrams Modularity vs. Code Size,10.1145/1594834.1480893,2009,,
From Latency-Insensitive Design to Communication-Based System-Level Design,10.1109/jproc.2015.2480849,2015,,
Contracts for System Design,10.1561/1000000053,2018,,
A type-based analysis of causality loops in hybrid systems modelers,10.1016/j.nahs.2017.04.004,2017,,
Numerical evaluation of bond-slip relations for near-surface mounted carbon fiber bars embedded in concrete,10.1016/j.conbuildmat.2012.11.073,2013,,
