document_type,title,doi,year,url
Proceedings Paper,Implementation and Evaluation of an Interpreter for Functional Reactive Programming on Small Embedded Devices,10.1145/3594671.3594674,2023,
Proceedings Paper,CFRP: A Functional Reactive Programming Language for Small-Scale Embedded Systems,,2018,
Proceedings Paper,Emfrp: A Functional Reactive Programming Language for Small-Scale Embedded Systems,10.1145/2892664.2892670,2016,
Proceedings Paper,Response Time Analysis for the Abort-and-Restart Event Handlers of the Priority-Based Functional Reactive Programming (P-FRP) Paradigm,10.1109/RTCSA.2009.64,2009,
Proceedings Paper,Periodic and Aperiodic Task Description Mechanisms in an FRP Language for Small-Scale Embedded Systems,10.1145/3623506.3623578,2023,
research-article,Real-Time Functional Reactive Program Translatorfor Embedded Systems,,2006,
Proceedings Paper,Rhine: FRP with Type-Level Clocks,10.1145/3242744.3242757,2018,
Proceedings Paper,Rhine: FRP with Type-Level Clocks,10.1145/3242744.3242757,2018,
Proceedings Paper,Towards Introducing Asynchronous Tasks to an FRP Language for Small-Scale Embedded Systems,10.1145/3563837.3568338,2022,
Proceedings Paper,Towards a Statically Scheduled Parallel Execution of an FRP Language for Embedded Systems,10.1145/3358503.3361276,2019,
Dissertation/Thesis,Towards safe and efficient functional reactive programming,,2011,
Article; Proceedings Paper,Safe Functional Reactive Programming through Dependent Types,10.1145/1631687.1596558,2009,
Proceedings Paper,Safe Functional Reactive Programming through Dependent Types,,2009,
Proceedings Paper,A Functional Reactive Programming Language for Wirelessly Connected Shape-Changeable Chiplet-Based Computers,10.1145/3618305.3623608,2023,
Proceedings Paper,Efficient Functional Reactive Programming Through Incremental Behaviors,10.1007/978-3-319-71237-6_16,2017,
Dissertation/Thesis,Future of Functional Reactive Programming in Real-Time Systems,,2023,
Proceedings Paper,Feasibility Interval for the Transactional Event Handlers of P-FRP,10.1109/TrustCom.2011.133,2011,
Proceedings Paper,Functional Reactive EDSL with Asynchronous Execution for Resource-Constrained Embedded Systems,10.1007/978-3-030-26428-4_12,2020,
Article,The Sparse Synchronous Model on Real Hardware,10.1145/3572920,2024,
Proceedings Paper,Schedulability Analysis for Real-Time P-FRP Tasks Under Fixed Priority Scheduling,10.1109/RTCSA.2015.28,2015,
Article,Feasibility interval for the transactional event handlers of P-FRP,10.1016/j.jcss.2012.11.006,2013,
Proceedings Paper,The Sparse Synchronous Model,10.1109/fdl50818.2020.9232938,2020,
Proceedings Paper,Determining Actual Response Time in P-FRP,,2011,
Proceedings Paper,Function-Oriented Decomposition for Reactive Embedded Software,10.1109/SEAA.2017.42,2017,
Dissertation/Thesis,Functional Programming for Embedded Systems,,2022,
Proceedings Paper,Synchronous Techniques for Software and Hardware Embedded Systems,10.3233/978-1-58603-976-9-43,2009,
Article,Utilisation bounds of P-FRP tasks,10.1504/IJES.2014.060918,2014,
Proceedings Paper,Programming Microcontrollers through High-Level Abstractions,10.1145/3427765.3428495,2020,
Dissertation/Thesis,Functional Programming for Securing Cloud and Embedded Environments,,2024,
Proceedings Paper,Autonomic Management of Missions and Reconfigurations in FPGA-based Embedded System,,2017,
,"Soap water filtration system (SOWAFIS) for purifying soapy water from swimming pool, has reverse osmosis (RO) membrane that is provided with spiral structured layer of strychnos potatorum, and pH sensors and water quantity detector that are clustered with advanced version of Arduino mega",,,
Article,Programming microcontrollers through high-level abstractions: The OMicroB project,10.1016/j.cola.2023.101228,2023,
Article,An implementation of constructive synchronous programs in POLIS,10.1023/A:1008796718837,2000,
Proceedings Paper,Customizing processor cores to support reactivity,,2004,
Proceedings Paper,A demonstration of co-design and co-verification in a synchronous language,10.1109/DATE.2004.1269104,2004,
Proceedings Paper,Context-Aware Task Handling in Resource-Constrained Robots with Virtualization,10.1109/EDGE60047.2023.00047,2023,
Article,Fault Tolerant Functional Reactive Programming (Functional Pearl),10.1145/3236791,2018,
Proceedings Paper,Towards a Signal Calculus for Event-Based Synchronous Languages,,2011,
Proceedings Paper,Timestamp Peripherals for Precise Real-Time Programming,10.1145/3610579.3611084,2023,
Proceedings Paper,FRP IoT Modules as a Scala DSL,10.1145/3141858.3141861,2017,
Proceedings Paper,An ESTEREL-based reactive JAVA extension for reactive embedded systems development,,2001,
Proceedings Paper,WCET of OCaml Bytecode on Microcontrollers: An Automated Method and Its Formalisation,10.4230/OASIcs.WCET.2019.5,2019,
Proceedings Paper,galsC: A language for event-driven embedded systems,10.1109/DATE.2005.165,2005,
Proceedings Paper,Formally Unifying Modeling and Design for Embedded Systems - A Personal View,10.1007/978-3-319-47169-3_11,2016,
Article,Safe design of high-performance embedded systems in an MDE framework,10.1007/s11334-008-0059-y,2008,
